track_name,album,artist,popularity,duration_min
Ginseng Strip 2002,Lavender,Yung Lean,73,2.57
Lonely,Trouble Deluxe Edition,Akon,80,3.93
Young Dumb & Broke,American Teen,Khalid,82,3.38
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,75,3.46
"Audio (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",Sia,61,3.4
From The D 2 The LBC (with Snoop Dogg),From The D 2 The LBC (with Snoop Dogg),Eminem,58,3.59
All I Know (feat. Future),Starboy (Deluxe),The Weeknd,42,5.35
Crazy in Love,Crazy in Love - Single,Sofia Karlberg,60,3.17
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,81,3.51
Right Now (Na Na Na),Freedom,Akon,81,4.01
Your Heart,Your Heart,Joyner Lucas,60,3.31
Bombay Dreams (feat. Kavita Seth),Bombay Dreams (feat. Kavita Seth),KSHMR,49,3.31
Human,Human (Deluxe),Rag'n'Bone Man,78,3.34
Radioactive,Night Visions,Imagine Dragons,81,3.11
Faith,After Hours,The Weeknd,69,4.72
Heartless,After Hours,The Weeknd,78,3.3
Moth To A Flame (with The Weeknd),Paradise Again,Swedish House Mafia,83,3.9
The Search,The Search,NF,69,4.13
We Own It (Fast & Furious),B.O.A.T.S. II #METIME (Deluxe),2 Chainz,70,3.8
I Wanna Be Yours,AM,Arctic Monkeys,92,3.07
hot girl bummer,everything means nothing,blackbear,74,3.14
me & ur ghost,everything means nothing,blackbear,59,3.36
In Da Club,Get Rich Or Die Tryin',50 Cent,82,3.22
Trampoline (with ZAYN),Trampoline (with ZAYN),SHAED,24,3.07
Wannabe,Wannabe,why mona,0,3.62
Undo Me,Undo Me,Mickey Valen,39,2.39
Stan,The Marshall Mathers LP,Eminem,81,6.74
Let Me Down Slowly,Narrated For You,Alec Benjamin,82,2.82
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,78,4.06
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Listen,David Guetta,74,3.21
Walls Could Talk,hopeless fountain kingdom (Deluxe),Halsey,1,1.7
Hall of Fame (feat. will.i.am),#3 Deluxe Version,The Script,80,3.38
'Till I Collapse,The Eminem Show,Eminem,11,4.96
Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,3,3.26
whoa (mind in awe),SKINS,XXXTENTACION,69,2.63
Lose Yourself,Just Lose It,Eminem,81,5.37
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,78,4.21
Candy Shop,The Massacre,50 Cent,81,3.49
Harleys In Hawaii,Harleys In Hawaii,Katy Perry,74,3.1
Say It Right,Loose,Nelly Furtado,84,3.72
What's Up Danger (with Black Caviar),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Blackway,71,3.71
Paris,Une seule vie (Collector),Willy William,41,3.26
